"RollNo          Marks"
"2201641520000           64"
"2201641520001           59"
"2201641520002           62"
"2201641520003           76"
"2201641520004           50"
"2201641520005           73"
"2201641520006           49"
"2201641520007           67"
"2201641520008           58"
"2201641520009           80"
"2201641520010           66"
"2201641520011           69"
"2201641520012           64"
"2201641520013           66"
"2201641520014           67"
"2201641520015           53"
"2201641520016           49"
"2201641520017           56"
"2201641520018           64"
"2201641520019           61"
"2201641520020           54"
"2201641520021           62"
"2201641520022           50"
"2201641520023           72"
"2201641520024           57"
"2201641520025           71"
"2201641520026           55"
"2201641520027           54"
"2201641520028           41"
"2201641520029           68"
"2201641520030           71"
"2201641520031           59"
"2201641520032           72"
"2201641520033           69"
"2201641520034           50"
"2201641520035           53"
"2201641520036           74"
"2201641520037           67"
"2201641520038           70"
"2201641520039           75"
"2201641520040           67"
"2201641520041           46"
"2201641520042           59"
"2201641520043           59"
"2201641520044           67"
"2201641520045   80"
"2201641520046   63"
"2201641520047   66"
"2201641520048   66"
"2201641520049   46"
"2201641520050   59"
"2201641520051   65"
"2201641520052   55"
"2201641520053   74"
"2201641520054   52"
"2201641520055   52"
"2201641520056   76"
"2201641520057   71"
"2201641520058   68"
"2201641520059   64"
"2201641520060   72"
"2201641520061   69"
"2201641520062   65"
"2201641520063   73"
"2201641520064   59"
"2201641520065   68"
"2201641520066   70"
"2201641520067   62"
"2201641520068   64"
"2201641520069   78"
"2201641520070   70"
"2201641520071   54"
"2201641520072   74"
"2201641520073   76"
"2201641520074   67"
"2201641520075   55"
"2201641520076   64"
"2201641520077   68"
"2201641520078   90"
"2201641520079   61"
"2201641520080   69"
"2201641520081   61"
"2201641520082   69"
"2201641520083   51"
"2201641520084   63"
"2201641520085   62"
"2201641520086   83"
"2201641520087   55"
"2201641520088   46"
"2201641520089   57"
"2201641520090   49"
"2201641520091   72"
"2201641520092   71"
"2201641520093   58"
"2201641520094   62"
"2201641520095   65"
"2201641520096   66"
"2201641520097   80"
"2201641520098   55"
"2201641520099   60"
"2201641520100   69"
"2201641520101   62"
"2201641520102   81"
"2201641520103   69"
"2201641520104   52"
"2201641520105   66"
"2201641520106   54"
"2201641520107   70"
"2201641520108   81"
"2201641520109   67"
"2201641520110   52"
"2201641520111   59"
"2201641520112   54"
"2201641520113   63"
"2201641520114   74"
"2201641520115   67"
"2201641520116   74"
"2201641520117   44"
"2201641520118   73"
"2201641520119   59"
"2201641520120   69"
"2201641520121   54"
"2201641520122   71"
"2201641520123   53"
"2201641520124   65"
"2201641520125   66"
"2201641520126   61"
"2201641520127   67"
"2201641520128   53"
"2201641520129   78"
"2201641520130   79"
"2201641520131   55"
"2201641520132   60"
"2201641520133   72"
"2201641520134   53"
"2201641520135   55"
"2201641520136   58"
"2201641520137   64"
"2201641520138   64"
"2201641520139   74"
"2201641520140   66"
"2201641520141   66"
"2201641520142   72"
"2201641520143   56"
"2201641520144   65"
"2201641520145   48"
"2201641520146   75"
"2201641520147   49"
"2201641520148   60"
"2201641520149   57"
